400060;82983;306001
196469;283;306001
80738;220;306001
342029;118818;306001
233179;816;306002
268554;283;306002
282359;229;306003
400900;220;306003
140745;14564;306003
160544;38424;306003
129405;15538;306004
310138;236;306004
67338;220;306004
436451;43643;306006
19455;40791;306006
331214;283;306006
270671;273;306007
319608;319607;306007
349833;124861;306007
361518;273755;306007
377189;14625;306009
7501;1276;306009
195091;14454;306010
337370;72068;306010
22236;130884;306010
243595;240337;306011
403189;138;306011
71130;1945;306011
152507;14549;306011
359433;31650;306011
183790;220;306011
309193;73410;306012
190998;14549;306012
433835;27029;306012
418986;14454;306012
336158;4526;306012
232268;45082;306012
203247;100388;306012
394975;283;306013
397680;304213;306013
369348;207570;306013
201043;220;306013
124221;34851;306013
448239;43643;306014
189881;88;306014
391909;16460;306014
363908;2934;306014
81567;301;306014
106028;46621;306015
393638;10159;306015
174137;4206;306016
30500;8595;306016
288694;130884;306016
264330;90495;306016
226910;2280;306016
443725;356;306016
232165;283;306017
247680;51757;306017
327240;49182;306018
432521;7691;306019
92609;2934;306019
227699;301;306019
370895;33383;306019
370465;98931;306020
379198;40212;306020
383523;62940;306020
429836;206773;306020
15173;8135;306020
191942;49182;306020
81567;16623;306020
284640;95905;306021
184342;17057;306021
214415;17665;306021
149809;205;306021
11541;1901;306021
340894;220;306022
337827;59915;306022
276732;3188;306022
440006;759;306022
264323;2934;306022
291266;283;306022
97230;13416;306022
96150;19470;306022
136936;81091;306022
181321;63;306023
290174;27744;306023
67210;43725;306023
19574;5310;306024
129442;283;306024
286452;188032;306024
101872;374810;306024
143557;4509;306024
282275;206;306025
164074;272055;306025
140060;2662;306025
356858;4208;306025
109616;54222;306025
244068;14805;306025
359292;2567;306025
304664;88;306026
402096;57138;306027
177652;3998;306027
246888;7949;306027
231634;57138;306028
310899;240;306028
73467;220;306028
330043;7067;306029
60306;13249;306029
388456;118818;306030
204942;280;306030
426797;2521;306030
435555;422760;306030
19833;14454;306030
275826;229;306031
203383;2992;306032
271057;40797;306032
93269;554;306032
115536;130884;306033
61594;220;306033
86939;18038;306034
317413;58028;306035
403203;35295;306035
219420;7691;306035
56611;45115;306035
270754;15619;306036
236737;519;306036
200368;220;306037
366864;37523;306037
6786;14454;306037
134744;57138;306037
110494;5207;306038
90022;464;306038
243637;349;306038
195752;51757;306038
180619;42927;306039
244613;30021;306039
16672;88;306040
40188;220;306041
316202;20624;306041
281660;13249;306041
148685;22367;306042
359292;4652;306042
166294;3571;306042
391416;489;306042
330925;8761;306042
242356;57138;306042
382261;205;306043
310784;14615;306043
156363;32678;306043
264323;52514;306043
335146;393808;306043
101872;326291;306043
196544;759;306043
204850;220;306044
271429;229;306044
150756;53671;306044
331909;368951;306044
420505;239991;306045
129157;519;306045
408346;88;306045
93172;93181;306045
272328;283;306046
241603;220;306046
261219;220;306047
336094;37162;306047
361246;20522;306047
359710;130884;306048
268941;55597;306048
278465;88;306048
83331;8595;306048
223018;88;306048
183819;2521;306049
346274;6948;306049
234325;220;306049
76453;63;306049
411015;816;306050
79501;99695;306050
397443;35295;306051
64431;13249;306051
310899;273;306051
380565;442966;306051
57293;57304;306051
197042;1276;306052
343351;130884;306052
43769;13249;306052
6034;5993;306053
92609;90495;306053
